Columns,n,type,mean,std,min,25%,50%,75%,max,value 1,value 2,value 3,value 4,value 5,freq 1,freq 2,freq 3,freq 4,freq 5,freq others,freq NA,
210X40,500,float64,0.470322,0.034645041,0,0.454,0.478,0.486,0.528,0.425,0.475,0.424,0.483,0.484,27,24,21,21,21,386,0,
210X41,500,float64,0.465924,0.044020971,0,0.428,0.463,0.499,0.534,0.423,0.524,0.422,0.497,0.464,35,24,24,21,20,376,0,
210X42,500,float64,0.470322,0.034584715,0,0.454,0.478,0.486,0.52,0.484,0.474,0.425,0.424,0.482,27,27,26,24,23,373,0,
210X43,500,float64,0.465968,0.044010189,0,0.428,0.463,0.499,0.534,0.423,0.422,0.524,0.464,0.526,31,26,25,23,22,373,0,
210X44,500,float64,0.965532,0.050579656,0,0.936,0.971,0.98,1.021,0.97,0.934,0.933,0.976,0.978,32,31,29,26,26,356,0,
210X45,500,float64,0.959658,0.059165481,0,0.923,0.956,1.003,1.027,0.923,0.925,0.956,1,0.921,40,26,25,19,19,371,0,
210X46,500,float64,0.965586,0.050572619,0,0.93675,0.971,0.98,1.022,0.934,0.977,0.933,0.97,0.976,42,32,29,27,21,349,0,
210X47,500,float64,0.959748,0.059183019,0,0.923,0.956,1.003,1.027,0.923,0.956,1.001,1.019,0.958,47,34,27,20,20,352,0,
210X48,500,float64,0.494996,0.024179025,0,0.487,0.5,0.504,0.51,0.5,0.487,0.508,0.486,0.481,88,61,61,51,42,197,0,
210X49,500,float64,0.493686,0.02357896,0,0.492,0.493,0.501,0.507,0.493,0.492,0.501,0.477,0.505,108,97,55,45,35,160,0,
210X50,500,float64,0.495044,0.024159168,0,0.487,0.5,0.504,0.51,0.5,0.487,0.508,0.481,0.486,87,78,65,41,35,194,0,
210X51,500,float64,0.49378,0.023580579,0,0.492,0.493,0.501,0.507,0.493,0.492,0.501,0.505,0.477,130,76,74,53,43,124,0,
210X52,500,float64,3.190964,1.443134744,0,2.33725,3.4445,4.3045,6.319,0,4.136,3.325,4.476,2.785,40,3,3,2,2,450,0,
210X53,500,float64,0.517988,0.036888445,0,0.496,0.526,0.53,0.575,0.528,0.526,0.524,0.474,0.53,61,31,28,24,23,333,0,
210X54,500,float64,0.514612,0.047512781,0,0.474,0.508,0.554,0.586,0.473,0.508,0.474,0.472,0.471,35,32,27,26,25,355,0,
210X55,500,float64,0.51806,0.036863128,0,0.497,0.526,0.53,0.573,0.528,0.524,0.53,0.474,0.526,51,38,33,26,22,330,0,
210X56,500,float64,0.514616,0.047470068,0,0.474,0.508,0.55425,0.586,0.473,0.474,0.508,0.471,0.577,42,31,29,25,25,348,0,
210X57,500,float64,0.004812,0.000670489,0,0.004,0.005,0.005,0.009,0.005,0.004,0.006,0.007,0.009,336,132,17,12,1,2,0,
210X58,500,float64,0.005618,0.003432731,0,0.005,0.005,0.006,0.079,0.005,0.006,0.007,0.004,0.009,249,101,91,53,3,3,0,
210X60,500,float64,0.001018,0.000286076,0,0.001,0.001,0.001,0.007,0.001,0.002,0.007,0,,494,4,1,1,,0,0,"'210X60',"
210X61,500,float64,0.91613,0.048319879,0,0.899,0.919,0.925,0.974,0.917,0.921,0.883,0.881,0.923,42,34,33,32,30,329,0,
210X62,500,float64,0.914362,0.057634003,0,0.876,0.913,0.95,1.122,0.875,0.877,0.913,0.946,0.873,47,37,29,22,21,344,0,
210X63,500,float64,0.91619,0.048293627,0,0.899,0.919,0.925,0.974,0.917,0.921,0.883,0.923,0.881,38,36,35,35,34,322,0,
210X64,500,float64,0.913474,0.056090513,0,0.876,0.913,0.949,0.982,0.875,0.877,0.913,0.972,0.873,57,49,34,24,21,315,0,
210X65,500,float64,0.0054,0.001204534,0,0.00475,0.005,0.006,0.012,0.005,0.004,0.007,0.006,0.003,176,120,119,75,4,6,0,
210X66,500,float64,0.005114,0.002743731,0,0.004,0.005,0.005,0.062,0.005,0.004,0.006,0.007,0.003,267,132,56,37,4,4,0,
210X67,500,float64,0.001098,0.001094894,0,0.001,0.001,0.001,0.025,0.001,0.002,0.025,0,,472,26,1,1,,0,0,
210X68,500,float64,0.001006,0.000118288,0,0.001,0.001,0.001,0.003,0.001,0.002,0.003,0,,496,2,1,1,,0,0,"'210X68',"
210X69,500,float64,0.398296,0.01877406,0,0.394,0.399,0.403,0.41,0.394,0.401,0.393,0.408,0.409,64,50,47,43,41,255,0,
210X70,500,float64,0.39906,0.018349654,0,0.396,0.4005,0.404,0.406,0.403,0.404,0.395,0.396,0.394,86,85,56,46,40,187,0,
210X71,500,float64,0.398174,0.01876486,0,0.39375,0.4,0.402,0.409,0.393,0.408,0.394,0.402,0.401,77,64,54,48,48,209,0,
210X72,500,float64,0.398882,0.01833577,0,0.395,0.4005,0.403,0.405,0.403,0.404,0.395,0.394,0.398,112,86,68,61,38,135,0,
210X73,500,float64,0.00612,0.004872482,0,0.005,0.006,0.007,0.11,0.005,0.007,0.006,0.004,0.009,176,116,80,67,30,31,0,
210X74,500,float64,0.005834,0.004221622,0,0.005,0.005,0.007,0.074,0.005,0.007,0.004,0.006,0.008,266,94,56,51,18,15,0,
210X75,500,float64,0.001174,0.000384734,0,0.001,0.001,0.001,0.002,0.001,0.002,0,,,411,88,1,,,0,0,
210X76,500,float64,0.001138,0.000351002,0,0.001,0.001,0.001,0.002,0.001,0.002,0,,,429,70,1,,,0,0,
210X77,500,int64,95.808,4.293250517,0,96,96,96,96,96,0,,,,499,1,,,,0,0,"'210X77',"
210X78,500,int64,95.808,4.293250517,0,96,96,96,96,96,0,,,,499,1,,,,0,0,"'210X78',"
210X80,500,int64,0.006,0.077304281,0,0,0,0,1,0,1,,,,497,3,,,,0,0,"'210X80',"
210X81,500,float64,62860.02619,19846.56059,0,55440.09,60595.52,77707.83625,91288.37,55470.01,31318.98,55335.225,31173.455,61066.535,1,1,1,1,1,495,0,
210X82,500,float64,63674.75459,19669.67475,0,56653.2625,64314.455,78108.30125,89822.87,88959.515,64890.86,57074.45,65525.465,89678.95,2,1,1,1,1,494,0,
210X83,500,float64,63175.39115,19823.03359,0,55482.17875,60676.5275,77722.47375,91204.48,61388.84,55340.515,77776.1,76433.71,60880.195,1,1,1,1,1,495,0,
210X84,500,float64,63836.28494,19542.12679,0,56638.52375,64364.595,78027.74125,89713.815,30065.825,56358.425,66087.65,88536.53,77807.055,2,1,1,1,1,494,0,
210X85,500,float64,816.195714,1767.547366,0,580.02375,766.32,887.0125,39419.945,852.65,882.18,906.115,906.01,311.24,2,1,1,1,1,494,0,
210X86,500,float64,1023.226968,2981.966052,0,617.58,718.89,805.62625,32896.67,826.5,313.09,619.43,677.09,835.52,2,1,1,1,1,494,0,
210X87,500,float64,164.690474,225.3010141,0,117.22875,153.31,181.7725,3583.24,166.26,208.8,158.605,164.23,102.455,2,2,2,2,2,490,0,
210X88,500,float64,166.113114,341.0270398,0,124.41,143.96,158.75125,5210.2,165.395,139.025,62.185,164.31,137.63,2,2,2,2,2,490,0,
210X89,500,float64,0.248,0.067897128,0,0.2,0.23,0.28,0.47,0.22,0.19,0.21,0.2,0.25,56,47,47,41,40,269,0,
210X90,500,float64,0.2307,0.050047172,0,0.19,0.23,0.26,0.36,0.19,0.21,0.24,0.17,0.25,49,46,45,41,39,280,0,
210X91,500,float64,0.16308,0.030125216,0,0.14,0.15,0.19,0.25,0.14,0.15,0.13,0.2,0.16,117,70,59,46,42,166,0,
210X92,500,float64,134.7222,6.03712688,0,135,135,135,135.2,135,134.9,134.8,135.2,135.1,461,30,6,1,1,1,0,
210X93,500,float64,134.655,6.034187421,0,134.9,134.9,134.925,135.1,134.9,135,134.8,135.1,0,372,124,2,1,1,0,0,
210X94,500,float64,36.9674,1.730128298,0,36.8,36.9,37.1,38,36.8,37,38,36.5,36.9,119,83,82,82,39,95,0,
210X95,500,float64,38.112,1.750412491,0,38,38,38.4,39.1,38,38.4,37.7,39.1,38.1,183,98,82,36,30,71,0,
210X96,500,float64,996.2458,46.12394605,0,988.8,999.85,1007.475,1020.6,1010.8,999.4,1004,1011.1,1003.7,11,9,7,7,7,459,0,
210X97,500,float64,0.00864,0.005348609,0,0.01,0.01,0.01,0.03,0.01,0,0.02,0.03,,366,104,24,6,,0,0,
210X98,500,float64,0.00794,0.004097558,0,0.01,0.01,0.01,0.02,0.01,0,0.02,,,395,104,1,,,0,0,
210X99,500,float64,0.0032,0.004920205,0,0,0,0.01,0.02,0,0.01,0.02,,,346,148,6,,,0,0,
210X100,500,float64,999.2874,46.23211913,0,991.875,999.75,1010.75,1032.4,995.8,995.7,988.7,989.4,1000.3,11,9,8,7,7,458,0,
210X101,500,float64,1996.0438,89.44512666,0,1999.975,2000.1,2000.2,2000.8,2000.1,2000.2,2000,2000.3,1999.9,113,91,74,62,35,125,0,
210X102,500,float64,1.6231,0.075187075,0,1.61,1.63,1.64,1.67,1.63,1.64,1.6,1.62,1.65,125,114,71,52,50,88,0,
210X104,500,float64,5724.1236,256.6119374,0,5730.8,5734.3,5739.8,5756.9,5734.5,5732.3,5734.3,5732.2,5732.4,10,9,7,7,7,460,0,
210X105,500,float64,0.8682,0.323570945,0,0.7,0.8,1,2.1,0.7,0.8,0.6,0.9,0.5,91,89,58,51,46,165,0,
210X106,500,float64,5724.8586,256.6044474,0,5732.4,5735.5,5740.4,5757.6,5733,5734.4,5733.3,5740.3,5734.2,10,9,7,7,7,460,0,
210X107,500,float64,1.3086,0.967355982,0,0.7,0.9,1.4,5.2,0.8,0.6,0.7,0.9,1,71,65,60,50,36,218,0,
210X108,500,float64,38.9216,1.744172502,0,39,39,39,39.1,39,38.9,39.1,0,,489,6,4,1,,0,0,"'210X108',"
210X109,500,float64,0.0078,0.026844016,0,0,0,0,0.1,0,0.1,,,,461,39,,,,0,0,
210X110,500,float64,38.9218,1.744187243,0,39,39,39,39.1,39,38.9,39.1,0,,488,6,5,1,,0,0,"'210X110',"
210X111,500,float64,0.0122,0.032761359,0,0,0,0,0.1,0,0.1,,,,439,61,,,,0,0,
210X112,500,float64,1.960438,3.398544395,0,1.48,1.7575,2.07,60.685,1.72,1.635,1.985,1.63,2.22,8,6,6,6,5,469,0,
210X113,500,float64,2.135766,5.430935493,0,1.53375,1.75,1.91,82.01,1.905,1.77,1.775,1.91,1.625,8,7,7,7,7,464,0,
210X114,500,float64,0.36141,0.311013338,0,0.295,0.355,0.41,6.855,0.345,0.195,0.34,0.4,0.35,20,18,17,17,17,411,0,
210X115,500,float64,0.410602,0.805909973,0,0.31,0.345,0.375,11.605,0.335,0.325,0.37,0.345,0.36,25,24,23,23,22,383,0,
210X116,500,float64,0.51813,0.037008599,0,0.497,0.526,0.53,0.599,0.528,0.53,0.524,0.473,0.526,63,32,30,23,21,331,0,
210X117,500,float64,0.514616,0.047466902,0,0.474,0.508,0.555,0.585,0.472,0.51,0.473,0.474,0.508,34,29,29,28,27,353,0,
210X118,500,float64,130.568902,40.80386477,0,113.07125,126.7725,163.57125,187.56,65.71,113.445,127.455,112.83,126.85,4,4,3,3,3,483,0,
210X119,500,float64,132.06901,40.58507115,0,119.4825,131.1825,165.395,184.32,62.4,62.415,182.54,164.68,119.56,4,4,3,3,3,483,0,
210X120,500,float64,130.98032,40.68927005,0,113.17875,126.7575,163.73125,187.405,65.58,65.56,65.7,65.555,126.755,5,5,4,4,4,478,0,
210X121,500,float64,132.46294,40.18968354,0,119.42,131.205,165.1825,184.195,62.335,62.35,62.355,62.4,62.345,5,5,4,4,4,478,0,
210X122,500,float64,0.51806,0.036858072,0,0.497,0.526,0.53,0.573,0.528,0.524,0.53,0.474,0.526,52,38,34,26,23,327,0,
210X123,500,float64,0.514628,0.047472106,0,0.474,0.508,0.55425,0.586,0.473,0.474,0.508,0.577,0.471,41,32,29,25,25,348,0,
210X124,500,float64,0.004798,0.000640325,0,0.004,0.005,0.005,0.007,0.005,0.004,0.006,0.007,0.003,335,134,18,11,1,1,0,
210X125,500,float64,0.005486,0.00098983,0,0.005,0.005,0.006,0.009,0.005,0.006,0.007,0.004,0.009,247,102,94,52,3,2,0,
210X128,500,float64,0.717084,0.041916858,0,0.698,0.722,0.728,0.774,0.724,0.722,0.677,0.726,0.679,40,36,33,33,32,326,0,
210X129,500,float64,0.714126,0.05108053,0,0.675,0.71,0.752,0.782,0.675,0.673,0.71,0.712,0.774,63,34,25,25,24,329,0,
210X130,500,float64,0.916144,0.048260475,0,0.899,0.919,0.925,0.972,0.921,0.917,0.923,0.883,0.881,42,34,32,29,23,340,0,
210X131,500,float64,0.913368,0.056087398,0,0.876,0.913,0.949,0.982,0.875,0.877,0.913,0.97,0.874,49,46,31,25,24,325,0,
210X132,500,float64,130.77346,40.84335187,0,113.095,126.79,163.84125,187.56,65.505,65.54,65.565,65.7,65.675,4,4,3,3,3,483,0,
210X133,500,float64,131.772856,40.4105467,0,119.46375,131.16,165.19625,184.32,62.415,181.575,62.33,119.645,183.185,5,3,3,3,3,483,0,
210X134,500,float64,130.9787,40.685804,0,113.175,126.7575,163.73125,187.405,65.56,65.7,65.575,65.58,65.555,6,5,5,4,3,477,0,
210X135,500,float64,132.465884,40.18890337,0,119.41875,131.2225,165.1875,184.195,62.355,62.35,62.335,62.34,119.395,6,5,4,4,3,478,0,
210X136,500,float64,0.916184,0.048295124,0,0.899,0.919,0.925,0.974,0.917,0.921,0.883,0.881,0.923,37,36,35,34,34,324,0,
210X137,500,float64,0.91347,0.056090118,0,0.876,0.913,0.949,0.982,0.875,0.877,0.913,0.972,0.873,57,48,33,23,22,317,0,
210X138,500,float64,0.005412,0.001215405,0,0.00475,0.005,0.007,0.012,0.005,0.007,0.004,0.006,0.008,175,122,120,72,4,7,0,
210X139,500,float64,0.005112,0.002736866,0,0.004,0.005,0.005,0.062,0.005,0.004,0.006,0.007,0.003,267,132,60,34,3,4,0,
210X140,500,float64,0.001052,0.00023109,0,0.001,0.001,0.001,0.002,0.001,0.002,0,,,472,27,1,,,0,0,
210X141,500,float64,0.001046,0.001030538,0,0.001,0.001,0.001,0.024,0.001,0.024,0.002,0,,497,1,1,1,,0,0,"'210X141',"
210X142,500,float64,2.389922,0.858276994,0,1.91375,2.15,2.73625,4.04,1.98,1.985,3.775,2.11,1.295,8,7,6,5,5,469,0,
210X143,500,float64,2.162972,0.590780828,0,1.94875,2.09,2.535,3.15,2.085,1.975,1.98,2.035,2.045,9,8,7,7,7,462,0,
210X144,500,float64,54228.13295,17115.36086,0,47833.735,51752.78,68538.255,77907.755,47976.995,26532.33,67793.4,52193.73,51754.14,1,1,1,1,1,495,0,
210X145,500,float64,54791.90946,17460.81761,0,48363.70375,55503.74,69167,77784.51,76886.88,50698.16,25385.375,56369.02,25350.145,1,1,1,1,1,495,0,
210X146,500,float64,0.398178,0.018792995,0,0.394,0.399,0.403,0.411,0.394,0.393,0.401,0.402,0.408,56,50,50,46,46,252,0,
210X147,500,float64,0.39892,0.01835864,0,0.396,0.4,0.404,0.406,0.403,0.404,0.396,0.405,0.394,89,73,47,46,44,201,0,
210X148,500,float64,137.27137,43.04392892,0,118.1575,131.9075,173.09,198.175,70.27,119.29,131.885,195.905,197.47,3,2,2,2,2,489,0,
210X149,500,float64,138.609006,41.87668498,0,126.78625,137.09,173.98375,193.89,137.09,191.185,127.965,67.15,191.59,4,3,3,3,3,484,0,
210X150,500,float64,137.794466,42.73442222,0,118.35125,132.175,173.03,197.74,132.44,70.465,70.325,132.275,196.955,4,3,3,3,3,484,0,
210X151,500,float64,139.186984,41.57667469,0,126.965,137.165,173.46,192.595,137.165,126.94,66.715,67.16,66.745,4,4,3,3,3,483,0,
210X152,500,float64,-28.314912,25.82374447,-109.065,-45.0575,-27.07,-3.37625,16.71,0,-2.73,-6.36,-2.65,-2.715,3,2,2,2,2,489,0,
210X153,500,float64,15.342472,41.48205425,-75.445,-7.49125,-0.91,22.82625,119.65,-1.925,-5.595,2.135,-0.985,-1.6,3,2,2,2,2,489,0,
210X154,500,float64,0.704668,0.082974329,0,0.655,0.714,0.744,0.904,0.714,0.744,0.734,0.722,0.732,12,10,10,9,9,450,0,
210X155,500,float64,0.657086,0.077597767,0,0.607,0.663,0.69825,0.877,0.541,0.531,0.677,0.671,0.685,13,10,9,8,8,452,0,
210X156,500,float64,138.185904,42.95400078,0,119.60375,133.7225,172.79875,198.305,69.725,171.44,69.625,133.27,119.86,3,3,2,2,2,488,0,
210X157,500,float64,139.00284,42.35842946,0,126.19375,138.5025,174.1525,194.545,193.985,66.26,126.19,129.555,173.8,3,2,2,2,2,489,0,
210X158,500,float64,0.234284,0.077188026,0,0.162,0.257,0.30425,0.34,0.157,0.163,0.284,0.148,0.33,13,9,8,6,6,458,0,
210X159,500,float64,0.266902,0.070866102,0,0.23175,0.3,0.317,0.337,0.321,0.315,0.318,0.317,0.314,20,19,17,16,15,413,0,
210X160,500,float64,0.049682,0.024625631,0,0.029,0.041,0.075,0.099,0.029,0.03,0.028,0.026,0.025,31,23,22,20,16,388,0,
210X161,500,float64,0.069232,0.031004205,0,0.05,0.0645,0.092,0.144,0.051,0.048,0.05,0.056,0.052,22,17,17,16,16,412,0,
210X162,500,float64,136.567512,42.68637676,0,118.17,132.5075,171.05875,195.95,68.64,118.8,68.585,68.595,195.225,4,3,3,2,2,486,0,
210X163,500,float64,137.640028,42.22226301,0,124.78875,136.9575,172.43625,193.005,189.72,65.075,128.46,124.83,191.46,2,2,2,2,2,490,0,
210X164,500,float64,0.706194,0.082350565,0,0.66375,0.714,0.744,0.903,0.716,0.728,0.72,0.738,0.73,9,9,8,8,8,458,0,
210X165,500,float64,0.656504,0.077909086,0,0.60575,0.662,0.699,0.877,0.531,0.669,0.536,0.677,0.675,13,11,11,10,7,448,0,
210X166,500,float64,135.676982,42.5929191,0,117.74125,132.0025,170.52375,195.335,68.59,68.26,118.045,68.4,169.97,3,3,3,3,3,485,0,
210X167,500,float64,137.60153,42.02139794,0,124.40625,136.665,172.1325,192.195,65.06,64.94,190.52,65.055,64.97,4,3,3,3,3,484,0,
210X168,500,float64,136.4322,42.38679653,0,117.88875,132.03,170.5625,195.21,68.29,68.3,68.285,68.495,68.31,6,4,4,4,3,479,0,
210X169,500,float64,137.982484,41.85942313,0,124.40375,136.685,172.05625,191.865,64.94,64.95,64.955,64.93,65,7,7,3,3,3,477,0,
210X170,500,float64,1.595832,2.334332384,0,1.22375,1.53,1.79,50.7,1.535,1.46,1.77,1.85,0.645,8,7,7,6,6,466,0,
210X171,500,float64,2.174734,6.7484983,0,1.24,1.445,1.62625,85.395,1.48,1.33,1.52,1.41,1.64,10,7,7,6,6,464,0,
210X172,500,float64,0.312764,0.308405539,0,0.24,0.305,0.36,5.32,0.305,0.315,0.34,0.355,0.36,17,16,16,15,15,421,0,
210X173,500,float64,0.324882,0.667615303,0,0.25,0.29,0.315,9.335,0.315,0.29,0.295,0.305,0.32,31,29,27,23,23,367,0,
210X174,500,float64,0.704802,0.071542067,0,0.68225,0.716,0.724,0.841,0.716,0.718,0.72,0.714,0.724,34,28,25,22,18,373,0,
210X175,500,float64,0.658032,0.056083167,0,0.615,0.669,0.69525,0.782,0.692,0.69,0.694,0.696,0.708,15,12,12,12,10,439,0,
210X176,500,float64,0.23439,0.078006461,0,0.16175,0.257,0.305,0.474,0.157,0.278,0.329,0.148,0.163,13,8,8,8,8,455,0,
210X177,500,float64,0.266834,0.071232989,0,0.231,0.3,0.317,0.343,0.315,0.321,0.318,0.317,0.312,20,19,15,15,14,417,0,
210X178,500,float64,0.049664,0.024593918,0,0.029,0.041,0.075,0.098,0.029,0.026,0.028,0.027,0.03,27,25,23,19,19,387,0,
210X179,500,float64,0.069236,0.031028856,0,0.05,0.0635,0.093,0.143,0.05,0.051,0.053,0.052,0.049,22,19,17,16,15,411,0,
210X180,500,float64,0.10025,0.080668198,0,0.015,0.1,0.185,0.245,0.015,0.01,0.02,0.09,0.22,77,59,45,17,17,285,0,
210X181,500,float64,0.112086,0.103498844,0,0.01,0.07,0.21,0.32,0.015,0.01,0.005,0,0.065,51,45,43,42,20,299,0,
210X182,500,float64,0.10094,0.080169012,0,0.015,0.09,0.195,0.22,0.21,0.02,0.01,0.015,0.09,79,70,65,62,42,182,0,
210X183,500,float64,0.11199,0.10404873,0,0.01,0.07,0.2,0.31,0,0.07,0.01,0.2,0.015,99,50,46,40,26,239,0,
210X184,500,int64,52016866.4,23161547.69,0,32449498.75,52389480,71030089.5,98537288,80414718,63078727,26438896,64333598,73699969,1,1,1,1,1,495,0,
210X185,500,int64,52077078.61,23116878.8,0,32820976.5,52390812.5,71031231,98538328,41083902,59042163,11857241,43997741,50563420,1,1,1,1,1,495,0,
210X186,500,float64,78183.7372,17063.81275,0,64040.475,81914.05,90605.425,103095.2,84155.6,100193.9,84812.2,56568,58884.4,1,1,1,1,1,495,0,
210X187,500,float64,8209.26126,2574.881142,0,7469.795,8601.77,9693.0775,15644.26,8589.43,10765.96,9312.53,8970.08,3394.37,1,1,1,1,1,495,0,
210X188,500,float64,11220.9702,9172.95505,0,3556.825,6199.45,20585.775,36562.2,123.2,3487.7,135.3,3797.8,34542.1,2,2,2,2,1,491,0,
210X189,500,float64,433.4517,526.6357243,0,16.8725,252.5,703.66,2474.03,1.4,1.65,5.89,1.42,62.26,2,2,2,2,2,490,0,
210X190,500,float64,49.427,18.92728547,0,44.2,49.2,55.525,175.9,53.3,52.5,73.2,73.1,49.1,9,9,9,8,7,458,0,
210X191,500,float64,0.08296,0.079057819,0,0.05,0.05,0.07,0.53,0.05,0.04,0.06,0.07,0.03,160,90,86,24,23,117,0,
210X192,500,float64,1.4582,0.815354135,0,0.8,1.1,1.9,3.7,0.8,0.9,1.8,1.1,0.7,67,65,55,52,44,217,0,
210X193,500,float64,0.07066,0.118198588,0,0.01,0.02,0.03,0.41,0.02,0.01,0.03,0,0.04,119,118,96,50,32,85,0,
210X194,500,float64,1.8472,0.653257722,0,1.4,1.7,2.3,3.4,1.7,1.6,1.8,1.4,1.5,42,42,39,36,33,308,0,
210X195,500,float64,2.84418,1.285799396,0,1.9175,2.49,4.0125,6.05,2.32,2.66,2.48,2.37,2.57,6,6,5,5,5,473,0,
210X199,500,int64,0.998,0.04472136,0,1,1,1,1,1,0,,,,499,1,,,,0,0,"'210X199',"
210X200,500,float64,0.717428,0.041856191,0,0.69575,0.724,0.73,0.772,0.726,0.724,0.722,0.677,0.728,48,30,29,29,29,335,0,
210X201,500,float64,0.712476,0.050661134,0,0.673,0.7085,0.75125,0.78,0.673,0.671,0.71,0.708,0.675,45,43,32,28,28,324,0,
210X202,500,float64,0.71736,0.041797757,0,0.69575,0.725,0.73,0.772,0.726,0.728,0.723,0.677,0.679,39,38,33,29,28,333,0,
