Columns,n,type,mean,std,min,25%,50%,75%,max,value 1,value 2,value 3,value 4,value 5,freq 1,freq 2,freq 3,freq 4,freq 5,freq others,freq NA,tongyi,,,,
210X17,500,int64,750,0,750,750,750,750,750,750,,,,,500,,,,,0,0,,"'210X17',","'210X31',",,"'210X17',"
220X95,500,int64,2.01708E+15,3872407677,2.01707E+15,2.01707E+15,2.01707E+15,2.01708E+15,2.01708E+15,2.01707E+15,2.01707E+15,2.01707E+15,2.01707E+15,2.01708E+15,2,1,1,1,1,494,0,1.91981E-06,"'220X95',","'210X38',",,"'210X31',"
220X71,500,int64,2.01708E+15,3872406540,2.01707E+15,2.01707E+15,2.01707E+15,2.01708E+15,2.01708E+15,2.01707E+15,2.01707E+15,2.01707E+15,2.01708E+15,2.01708E+15,2,1,1,1,1,494,0,1.91981E-06,"'220X71',","'210X59',",,"'210X38',"
220X87,500,int64,2.01708E+15,3872405505,2.01707E+15,2.01707E+15,2.01707E+15,2.01708E+15,2.01708E+15,2.01707E+15,2.01707E+15,2.01707E+15,2.01708E+15,2.01707E+15,2,1,1,1,1,494,0,1.91981E-06,"'220X87',","'210X79',",,"'210X59',"
210X21,500,int64,13.972,0.626099034,0,14,14,14,14,14,0,,,,499,1,,,,0,0,,,"'210X103',",,"'210X79',"
210X22,500,int64,13.972,0.626099034,0,14,14,14,14,14,0,,,,499,1,,,,0,0,,,"'210X126',",,"'210X103',"
310X76,500,int64,2.01708E+15,3825729741,2.01707E+15,2.01707E+15,2.01708E+15,2.01708E+15,2.01708E+15,2.01707E+15,2.01708E+15,2.01708E+15,2.01708E+15,2.01708E+15,2,1,1,1,1,494,0,1.89667E-06,"'310X76',","'210X127',",,"'210X126',"
310X60,500,int64,2.01708E+15,3825729691,2.01707E+15,2.01707E+15,2.01708E+15,2.01708E+15,2.01708E+15,2.01707E+15,2.01707E+15,2.01708E+15,2.01708E+15,2.01708E+15,2,1,1,1,1,494,0,1.89667E-06,"'310X60',","'210X196',",,"'210X127',"
310X84,500,int64,2.01708E+15,3825729641,2.01707E+15,2.01707E+15,2.01708E+15,2.01708E+15,2.01708E+15,2.01707E+15,2.01707E+15,2.01707E+15,2.01707E+15,2.01708E+15,2,1,1,1,1,494,0,1.89667E-06,"'310X84',","'210X197',",,"'210X196',"
310X68,500,int64,2.01708E+15,3825729537,2.01707E+15,2.01707E+15,2.01708E+15,2.01708E+15,2.01708E+15,2.01707E+15,2.01708E+15,2.01708E+15,2.01708E+15,2.01707E+15,2,1,1,1,1,494,0,1.89667E-06,"'310X68',","'210X198',",,"'210X197',"
310X56,500,int64,2.01708E+15,3825665188,2.01707E+15,2.01707E+15,2.01708E+15,2.01708E+15,2.01708E+15,2.01707E+15,2.01708E+15,2.01708E+15,2.01707E+15,2.01708E+15,2,1,1,1,1,494,0,1.89664E-06,"'310X56',","'210X227',",,"'210X198',"
310X72,500,int64,2.01708E+15,3825663091,2.01707E+15,2.01707E+15,2.01708E+15,2.01708E+15,2.01708E+15,2.01707E+15,2.01708E+15,2.01708E+15,2.01708E+15,2.01708E+15,2,1,1,1,1,494,0,1.89664E-06,"'310X72',","'220X1',",,"'210X227',"
210X29,500,float64,0.001032,0.000853483,0,0.001,0.001,0.001,0.02,0.001,0,0.02,,,496,3,1,,,0,0,,,"'220X7',",,"'220X1',"
210X30,500,float64,0.001022,0.000376563,0,0.001,0.001,0.001,0.007,0.001,0,0.005,0.007,,494,3,2,1,,0,0,,,"'220X17',",,"'220X7',"
210X31,500,int64,1,0,1,1,1,1,1,1,,,,,500,,,,,0,0,,"'210X31',","'220X24',",,"'220X17',"
310X80,500,int64,2.01708E+15,3825663068,2.01707E+15,2.01707E+15,2.01708E+15,2.01708E+15,2.01708E+15,2.01707E+15,2.01708E+15,2.01707E+15,2.01708E+15,2.01708E+15,2,1,1,1,1,494,0,1.89664E-06,"'310X80',","'220X25',",,"'220X24',"
310X64,500,int64,2.01708E+15,3825663062,2.01707E+15,2.01707E+15,2.01708E+15,2.01708E+15,2.01708E+15,2.01707E+15,2.01708E+15,2.01708E+15,2.01707E+15,2.01707E+15,2,1,1,1,1,494,0,1.89664E-06,"'310X64',","'220X34',",,"'220X25',"
210X207,500,int64,2011396262,1200392537,0,978441712.8,1655042691,2749554221,4676406041,2848750587,1023088990,2842897735,4328913224,548581705,1,1,1,1,1,495,0,0.596795649,,"'220X35',",,"'220X34',"
210X206,500,int64,1655650168,744599502,0,978434633,1629520699,2243704073,3035333050,1438794750,647209318,1438154052,546455504,1111221583,1,1,1,1,1,495,0,0.449732387,,"'220X36',",,"'220X35',"
210X24,500,int64,2.01707E+13,413976533.9,2.01666E+13,2.01707E+13,2.01707E+13,2.01708E+13,2.01708E+13,2.01666E+13,2.01708E+13,2.01708E+13,2.01707E+13,2.01708E+13,5,1,1,1,1,491,0,2.05236E-05,"'210X24',","'220X37',",,"'220X36',"
210X37,500,int64,0.004,0.063182149,0,0,0,0,1,0,1,,,,498,2,,,,0,0,,,"'220X38',",,"'220X37',"
210X38,500,int64,0,0,0,0,0,0,0,0,,,,,500,,,,,0,0,,"'210X38',","'220X39',",,"'220X38',"
311X32,440,float64,2.01708E+13,38950880.29,2.01707E+13,2.01707E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01707E+13,2.01708E+13,2.01707E+13,2.01708E+13,2.01707E+13,2,1,1,1,1,434,60,1.93106E-06,"'311X32',","'220X40',",,"'220X39',"
311X30,440,float64,2.01708E+13,38950877.46,2.01707E+13,2.01707E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01707E+13,2.01708E+13,2.01708E+13,2.01707E+13,2.01708E+13,2,1,1,1,1,434,60,1.93106E-06,"'311X30',","'220X57',",,"'220X40',"
300X4,400,float64,2.01708E+13,38927836.22,2.01707E+13,2.01707E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01707E+13,2.01707E+13,2.01708E+13,2.01707E+13,2.01707E+13,2,1,1,1,1,394,100,1.92991E-06,"'300X4',","'220X58',",,"'220X57',"
300X3,461,float64,2.01708E+13,38909628.22,2.01707E+13,2.01707E+13,2.01707E+13,2.01708E+13,2.01708E+13,2.01707E+13,2.01707E+13,2.01708E+13,2.01707E+13,2.01707E+13,2,1,1,1,1,455,39,1.92901E-06,"'300X3',","'220X61',",,"'220X58',"
300X13,471,float64,2.01708E+13,38900496.47,2.01707E+13,2.01707E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01707E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01707E+13,2,1,1,1,1,465,29,1.92856E-06,"'300X13',","'220X62',",,"'220X61',"
220X225,500,int64,2.01708E+13,38900019.93,2.01707E+13,2.01707E+13,2.01707E+13,2.01708E+13,2.01708E+13,2.01707E+13,2.01707E+13,2.01707E+13,2.01707E+13,2.01707E+13,2,1,1,1,1,494,0,1.92854E-06,"'220X225',","'220X63',",,"'220X62',"
220X226,500,int64,2.01708E+13,38900019.93,2.01707E+13,2.01707E+13,2.01707E+13,2.01708E+13,2.01708E+13,2.01707E+13,2.01707E+13,2.01707E+13,2.01707E+13,2.01707E+13,2,1,1,1,1,494,0,1.92854E-06,"'220X226',","'220X99',",,"'220X63',"
220X227,500,int64,2.01708E+13,38899519.7,2.01707E+13,2.01707E+13,2.01707E+13,2.01708E+13,2.01708E+13,2.01707E+13,2.01707E+13,2.01707E+13,2.01708E+13,2.01707E+13,2,1,1,1,1,494,0,1.92851E-06,"'220X227',","'220X104',",,"'220X99',"
220X229,500,int64,2.01708E+13,38897887.61,2.01707E+13,2.01707E+13,2.01707E+13,2.01708E+13,2.01708E+13,2.01707E+13,2.01707E+13,2.01708E+13,2.01708E+13,2.01707E+13,2,1,1,1,1,494,0,1.92843E-06,"'220X229',","'220X106',",,"'220X104',"
220X228,500,int64,2.01708E+13,38897887.03,2.01707E+13,2.01707E+13,2.01707E+13,2.01708E+13,2.01708E+13,2.01707E+13,2.01708E+13,2.01707E+13,2.01707E+13,2.01707E+13,2,1,1,1,1,494,0,1.92843E-06,"'220X228',","'220X111',",,"'220X106',"
220X230,500,int64,2.01708E+13,38897859.96,2.01707E+13,2.01707E+13,2.01707E+13,2.01708E+13,2.01708E+13,2.01707E+13,2.01708E+13,2.01708E+13,2.01707E+13,2.01708E+13,2,1,1,1,1,494,0,1.92843E-06,"'220X230',","'220X113',",,"'220X111',"
220X231,500,int64,2.01708E+13,38893230.37,2.01707E+13,2.01707E+13,2.01707E+13,2.01708E+13,2.01708E+13,2.01707E+13,2.01707E+13,2.01707E+13,2.01708E+13,2.01707E+13,2,1,1,1,1,494,0,1.9282E-06,"'220X231',","'220X115',",,"'220X113',"
220X232,500,int64,2.01708E+13,38893230.37,2.01707E+13,2.01707E+13,2.01707E+13,2.01708E+13,2.01708E+13,2.01707E+13,2.01707E+13,2.01707E+13,2.01708E+13,2.01707E+13,2,1,1,1,1,494,0,1.9282E-06,"'220X232',","'220X117',",,"'220X115',"
300X6,479,float64,2.01708E+13,38886912.03,2.01707E+13,2.01707E+13,2.01707E+13,2.01708E+13,2.01708E+13,2.01707E+13,2.01707E+13,2.01708E+13,2.01708E+13,2.01707E+13,2,1,1,1,1,473,21,1.92788E-06,"'300X6',","'220X119',",,"'220X117',"
300X14,472,float64,2.01708E+13,38886598.92,2.01707E+13,2.01707E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01707E+13,2.01707E+13,2.01707E+13,2.01708E+13,2.01708E+13,2,1,1,1,1,466,28,1.92787E-06,"'300X14',","'220X121',",,"'220X119',"
300X7,456,float64,2.01708E+13,38881825.25,2.01707E+13,2.01707E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01707E+13,2.01708E+13,2.01707E+13,2.01707E+13,2.01708E+13,2,1,1,1,1,450,44,1.92763E-06,"'300X7',","'220X123',",,"'220X121',"
300X9,479,float64,2.01708E+13,38879098.38,2.01707E+13,2.01707E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01707E+13,2.01707E+13,2.01708E+13,2.01707E+13,2.01708E+13,2,1,1,1,1,473,21,1.9275E-06,"'300X9',","'220X125',",,"'220X123',"
300X2,473,float64,2.01708E+13,38869142.71,2.01707E+13,2.01707E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01707E+13,2.01707E+13,2.01707E+13,2.01708E+13,2.01707E+13,2,1,1,1,1,467,27,1.927E-06,"'300X2',","'220X127',",,"'220X125',"
311X29,500,int64,2.01708E+13,38859073.39,2.01707E+13,2.01707E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01707E+13,2.01707E+13,2.01707E+13,2.01708E+13,2.01707E+13,2,1,1,1,1,494,0,1.9265E-06,"'311X29',","'220X129',",,"'220X127',"
311X31,500,int64,2.01708E+13,38859072.37,2.01707E+13,2.01707E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01707E+13,2.01708E+13,2.01707E+13,2.01708E+13,2.01708E+13,2,1,1,1,1,494,0,1.9265E-06,"'311X31',","'220X131',",,"'220X129',"
210X59,500,float64,0.000998,4.47E-05,0,0.001,0.001,0.001,0.001,0.001,0,,,,499,1,,,,0,0,,"'210X59',","'220X133',",,"'220X131',"
210X60,500,float64,0.001018,0.000286076,0,0.001,0.001,0.001,0.007,0.001,0.002,0.007,0,,494,4,1,1,,0,0,,,"'220X135',",,"'220X133',"
311X100,500,int64,2.01708E+13,38859029.56,2.01707E+13,2.01707E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01707E+13,2.01708E+13,2.01707E+13,2.01708E+13,2.01707E+13,2,1,1,1,1,494,0,1.9265E-06,"'311X100',","'220X154',",,"'220X135',"
311X187,500,int64,2.01708E+13,38859020.37,2.01707E+13,2.01707E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01707E+13,2.01708E+13,2.01708E+13,2.01707E+13,2.01708E+13,2,1,1,1,1,494,0,1.9265E-06,"'311X187',","'220X157',",,"'220X154',"
311X188,500,int64,2.01708E+13,38859020.25,2.01707E+13,2.01707E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01707E+13,2.01707E+13,2.01707E+13,2.01708E+13,2.01707E+13,2,1,1,1,1,494,0,1.9265E-06,"'311X188',","'220X158',",,"'220X157',"
311X99,500,int64,2.01708E+13,38859020.23,2.01707E+13,2.01707E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01707E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01708E+13,2,1,1,1,1,494,0,1.9265E-06,"'311X99',","'220X159',",,"'220X158',"
261X374,500,int64,2.01708E+13,38859020.11,2.01707E+13,2.01707E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01707E+13,2.01708E+13,2.01708E+13,2.01707E+13,2.01707E+13,2,1,1,1,1,494,0,1.9265E-06,"'261X374',","'220X160',",,"'220X159',"
261X373,500,int64,2.01708E+13,38859019.86,2.01707E+13,2.01707E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01707E+13,2.01708E+13,2.01707E+13,2.01708E+13,2.01707E+13,2,1,1,1,1,494,0,1.9265E-06,"'261X373',","'220X161',",,"'220X160',"
261X560,500,int64,2.01708E+13,38859019.86,2.01707E+13,2.01707E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01707E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01708E+13,2,1,1,1,1,494,0,1.9265E-06,"'261X560',","'220X198',",,"'220X161',"
210X68,500,float64,0.001006,0.000118288,0,0.001,0.001,0.001,0.003,0.001,0.002,0.003,0,,496,2,1,1,,0,0,,,"'220X199',",,"'220X198',"
261X745,500,int64,2.01708E+13,38859002.72,2.01707E+13,2.01707E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01707E+13,2.01708E+13,2.01707E+13,2.01708E+13,2.01708E+13,2,1,1,1,1,494,0,1.9265E-06,"'261X745',","'220X200',",,"'220X199',"
261X746,500,int64,2.01708E+13,38859002.2,2.01707E+13,2.01707E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01707E+13,2.01708E+13,2.01707E+13,2.01707E+13,2.01708E+13,2,1,1,1,1,494,0,1.9265E-06,"'261X746',","'220X201',",,"'220X200',"
261X559,500,int64,2.01708E+13,38859002.19,2.01707E+13,2.01707E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01707E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01708E+13,2,1,1,1,1,494,0,1.9265E-06,"'261X559',","'220X202',",,"'220X201',"
300X10,485,float64,2.01708E+13,38857060.68,2.01707E+13,2.01707E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01707E+13,2.01708E+13,2.01708E+13,2.01707E+13,2.01707E+13,2,1,1,1,1,479,15,1.9264E-06,"'300X10',","'220X205',",,"'220X202',"
300X20,486,float64,2.01708E+13,38849434.91,2.01707E+13,2.01707E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01707E+13,2.01707E+13,2.01708E+13,2.01708E+13,2.01707E+13,2,1,1,1,1,480,14,1.92603E-06,"'300X20',","'220X206',",,"'220X205',"
210X215,499,float64,2.01708E+13,38283574.25,2.01707E+13,2.01707E+13,2.01707E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01707E+13,2.01708E+13,2.01707E+13,2.01707E+13,1,1,1,1,1,494,1,1.89797E-06,"'210X215',","'220X207',",,"'220X206',"
210X213,499,float64,2.01708E+13,38282448.02,2.01707E+13,2.01707E+13,2.01707E+13,2.01708E+13,2.01708E+13,2.01707E+13,2.01707E+13,2.01707E+13,2.01708E+13,2.01707E+13,1,1,1,1,1,494,1,1.89792E-06,"'210X213',","'220X208',",,"'220X207',"
210X205,500,int64,2.01708E+13,38269023.93,2.01707E+13,2.01707E+13,2.01707E+13,2.01708E+13,2.01708E+13,2.01707E+13,2.01707E+13,2.01707E+13,2.01707E+13,2.01707E+13,1,1,1,1,1,495,0,1.89725E-06,"'210X205',","'220X210',",,"'220X208',"
210X77,500,int64,95.808,4.293250517,0,96,96,96,96,96,0,,,,499,1,,,,0,0,,,"'220X211',",,"'220X210',"
210X78,500,int64,95.808,4.293250517,0,96,96,96,96,96,0,,,,499,1,,,,0,0,,,"'220X212',",,"'220X211',"
210X79,500,int64,0,0,0,0,0,0,0,0,,,,,500,,,,,0,0,,"'210X79',","'220X213',",,"'220X212',"
210X80,500,int64,0.006,0.077304281,0,0,0,0,1,0,1,,,,497,3,,,,0,0,,,"'220X220',",,"'220X213',"
210X204,500,int64,2.01708E+13,38267887.55,2.01707E+13,2.01707E+13,2.01707E+13,2.01708E+13,2.01708E+13,2.01707E+13,2.01708E+13,2.01707E+13,2.01707E+13,2.01707E+13,1,1,1,1,1,495,0,1.8972E-06,"'210X204',","'220X222',",,"'220X220',"
520X171,498,float64,2.01708E+13,36992718.73,2.01707E+13,2.01707E+13,2.01707E+13,2.01708E+13,2.01708E+13,2.01707E+13,2.01707E+13,2.01708E+13,2.01707E+13,2.01707E+13,2,1,1,1,1,492,2,1.83398E-06,"'520X171',","'220X237',",,"'220X222',"
520X152,500,int64,2.01708E+13,36956876.08,2.01707E+13,2.01707E+13,2.01707E+13,2.01708E+13,2.01708E+13,2.01707E+13,2.01707E+13,2.01707E+13,2.01708E+13,2.01708E+13,2,2,1,1,1,493,0,1.8322E-06,"'520X152',","'220X238',",,"'220X237',"
520X248,500,int64,2.01708E+13,36956876.08,2.01707E+13,2.01707E+13,2.01707E+13,2.01708E+13,2.01708E+13,2.01707E+13,2.01707E+13,2.01707E+13,2.01708E+13,2.01708E+13,2,2,1,1,1,493,0,1.8322E-06,"'520X248',","'220X239',",,"'220X238',"
520X250,500,int64,2.01708E+13,36956847.85,2.01707E+13,2.01707E+13,2.01707E+13,2.01708E+13,2.01708E+13,2.01707E+13,2.01708E+13,2.01708E+13,2.01707E+13,2.01708E+13,2,1,1,1,1,494,0,1.8322E-06,"'520X250',","'220X240',",,"'220X239',"
520X354,500,int64,2.01708E+13,36956847.85,2.01707E+13,2.01707E+13,2.01707E+13,2.01708E+13,2.01708E+13,2.01707E+13,2.01708E+13,2.01708E+13,2.01707E+13,2.01708E+13,2,1,1,1,1,494,0,1.8322E-06,"'520X354',","'220X242',",,"'220X240',"
520X173,500,int64,2.01708E+13,36956642.02,2.01707E+13,2.01707E+13,2.01707E+13,2.01708E+13,2.01708E+13,2.01707E+13,2.01707E+13,2.01707E+13,2.01707E+13,2.01707E+13,2,1,1,1,1,494,0,1.83219E-06,"'520X173',","'220X243',",,"'220X242',"
520X348,500,int64,2.01708E+13,36955896.38,2.01707E+13,2.01707E+13,2.01707E+13,2.01708E+13,2.01708E+13,2.01707E+13,2.01708E+13,2.01707E+13,2.01707E+13,2.01707E+13,2,1,1,1,1,494,0,1.83215E-06,"'520X348',","'220X244',",,"'220X243',"
520X346,500,int64,2.01708E+13,36955868.25,2.01707E+13,2.01707E+13,2.01707E+13,2.01708E+13,2.01708E+13,2.01707E+13,2.01708E+13,2.01707E+13,2.01708E+13,2.01708E+13,2,1,1,1,1,494,0,1.83215E-06,"'520X346',","'220X245',",,"'220X244',"
520X356,500,int64,2.01708E+13,36955868.25,2.01707E+13,2.01707E+13,2.01707E+13,2.01708E+13,2.01708E+13,2.01707E+13,2.01708E+13,2.01707E+13,2.01708E+13,2.01708E+13,2,1,1,1,1,494,0,1.83215E-06,"'520X356',","'220X246',",,"'220X245',"
520X148,500,int64,2.01708E+13,36955737.81,2.01707E+13,2.01707E+13,2.01707E+13,2.01708E+13,2.01708E+13,2.01707E+13,2.01707E+13,2.01707E+13,2.01707E+13,2.01707E+13,2,1,1,1,1,494,0,1.83214E-06,"'520X148',","'220X250',",,"'220X246',"
400X169,500,int64,2.01708E+13,34044095.12,2.01707E+13,2.01707E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01708E+13,2,1,1,1,1,494,0,1.68779E-06,"'400X169',","'220X252',",,"'220X250',"
400X61,500,int64,2.01708E+13,34044066.93,2.01707E+13,2.01707E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01707E+13,2.01708E+13,2.01707E+13,2,1,1,1,1,494,0,1.68779E-06,"'400X61',","'220X255',",,"'220X252',"
400X168,500,int64,2.01708E+13,34044066.93,2.01707E+13,2.01707E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01707E+13,2.01708E+13,2.01707E+13,2,1,1,1,1,494,0,1.68779E-06,"'400X168',","'220X257',",,"'220X255',"
400X25,500,int64,2.01708E+13,34042206.75,2.01707E+13,2.01707E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01708E+13,2,1,1,1,1,494,0,1.6877E-06,"'400X25',","'220X259',",,"'220X257',"
400X60,500,int64,2.01708E+13,34041406.41,2.01707E+13,2.01707E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01708E+13,2,1,1,1,1,494,0,1.68766E-06,"'400X60',","'220X267',",,"'220X259',"
400X65,500,int64,2.01708E+13,34041406.41,2.01707E+13,2.01707E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01708E+13,2,1,1,1,1,494,0,1.68766E-06,"'400X65',","'220X268',",,"'220X267',"
400X64,500,int64,2.01708E+13,34041406.39,2.01707E+13,2.01707E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01708E+13,2,1,1,1,1,494,0,1.68766E-06,"'400X64',","'220X396',",,"'220X268',"
400X220,500,int64,2.01708E+13,34041406.39,2.01707E+13,2.01707E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01708E+13,2,1,1,1,1,494,0,1.68766E-06,"'400X220',","'220X413',",,"'220X396',"
400X84,500,int64,2.01708E+13,34041361.64,2.01707E+13,2.01707E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01707E+13,2.01708E+13,2,1,1,1,1,494,0,1.68766E-06,"'400X84',","'220X427',",,"'220X413',"
400X219,500,int64,2.01708E+13,34041361.64,2.01707E+13,2.01707E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01707E+13,2.01708E+13,2,1,1,1,1,494,0,1.68766E-06,"'400X219',","'220X430',",,"'220X427',"
400X9,500,int64,2.01708E+13,34041347.69,2.01707E+13,2.01707E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01707E+13,2.01708E+13,2.01707E+13,2.01708E+13,2,1,1,1,1,494,0,1.68766E-06,"'400X9',","'220X452',",,"'220X430',"
210X103,500,int64,0,0,0,0,0,0,0,0,,,,,500,,,,,0,0,,"'210X103',","'220X453',",,"'220X452',"
400X83,500,int64,2.01708E+13,34041347.69,2.01707E+13,2.01707E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01707E+13,2.01708E+13,2.01707E+13,2.01708E+13,2,1,1,1,1,494,0,1.68766E-06,"'400X83',","'220X456',",,"'220X453',"
400X7,500,int64,2.01708E+13,34041323.24,2.01707E+13,2.01707E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01707E+13,2.01708E+13,2.01707E+13,2,1,1,1,1,494,0,1.68765E-06,"'400X7',","'220X525',",,"'220X456',"
400X27,500,int64,2.01708E+13,34038819.01,2.01707E+13,2.01707E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01708E+13,2.01708E+13,2,1,1,1,1,494,0,1.68753E-06,"'400X27',","'220X527',",,"'220X525',"
